columna_pca,componente,correlacion_columna_score
sexo_desc__mujer,PC24,-0.004994371563095075
sexo_desc__mujer,PC25,-0.01037426682311407
sexo_desc__mujer,PC26,-0.00519261219290898
sexo_desc__mujer,PC27,0.002096329185013313
sexo_desc__mujer,PC28,0.003994309806242792
sexo_desc__mujer,PC29,-0.004980476824683934
sexo_desc__mujer,PC30,0.001326808721292697
sexo_desc__mujer,PC31,-0.00587721175315253
sexo_desc__mujer,PC32,0.00774444324878505
sexo_desc__mujer,PC33,-0.0003692756013691237
sexo_desc__mujer,PC34,-0.0026696208044931823
sexo_desc__mujer,PC35,0.0014520520277046033
sexo_desc__mujer,PC36,-0.0015580486877004394
sexo_desc__mujer,PC37,0.00013235134314885106
sexo_desc__mujer,PC38,-0.0013002870331957459
sexo_desc__mujer,PC39,-0.0004916292992215339
sexo_desc__mujer,PC40,-0.000515470512883873
sexo_desc__mujer,PC41,-0.00020338050380901138
sexo_desc__mujer,PC42,-0.00026404691055597436
sexo_desc__mujer,PC43,-2.3749200848150116e-05
sexo_desc__mujer,PC44,-5.6287712143045636e-05
sexo_desc__mujer,PC45,-0.00037276188964859496
sexo_desc__mujer,PC46,-2.5415901798784346e-05
sexo_desc__mujer,PC47,2.7435724943161115e-05
sexo_desc__mujer,PC48,-6.9983123876151e-05
sexo_desc__mujer,PC49,-0.00012243287889851992
sexo_desc__mujer,PC50,5.615999110239263e-05
sexo_desc__mujer,PC51,-3.641812535520967e-06
sexo_desc__mujer,PC52,2.5359039598871575e-06
sexo_desc__mujer,PC53,5.897334138990352e-06
sexo_desc__mujer,PC54,-5.582866204704067e-06
sexo_desc__mujer,PC55,1.284466469744869e-06
sexo_desc__mujer,PC56,3.0925620319304215e-06
sexo_desc__mujer,PC57,1.2358336335870953e-06
sexo_desc__mujer,PC58,2.9049968658718676e-06
sexo_desc__mujer,PC59,7.373680622343105e-07
sexo_desc__mujer,PC60,-4.934954578485997e-08
sexo_desc__mujer,PC61,-8.847378070551592e-08
sexo_desc__mujer,PC62,3.5852773514697346e-07
sexo_desc__mujer,PC63,-1.4926412730856073e-07
sexo_desc__mujer,PC64,-4.401092849674053e-08
sexo_desc__mujer,PC65,-5.297217793941303e-09
sexo_desc__mujer,PC66,-1.207584245178145e-07
sexo_desc__mujer,PC67,-5.999206607216301e-18
sexo_desc__mujer,PC68,-7.912637714097541e-18
sexo_desc__mujer,PC69,-9.760919304756699e-18
sexo_desc__mujer,PC70,7.938698389255869e-17
sexo_desc__mujer,PC71,-3.0907414097970825e-18
sexo_desc__mujer,PC72,2.4712519222013405e-17
sexo_desc__mujer,PC73,8.868551947507629e-17
sexo_desc__mujer,PC74,-2.8760226435165136e-17
sexo_desc__mujer,PC75,1.7455737120979382e-17
sexo_desc__mujer,PC76,-5.3603690932922936e-17
sexo_desc__mujer,PC77,4.65823650801036e-19
nivelaprob_desc__doctorado,PC1,-0.02682714204028184
nivelaprob_desc__doctorado,PC2,0.013543587563904148
nivelaprob_desc__doctorado,PC3,-0.013826563565476655
nivelaprob_desc__doctorado,PC4,0.01522046886169984
nivelaprob_desc__doctorado,PC5,0.02835477934812388
nivelaprob_desc__doctorado,PC6,0.04413709413104768
